"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Inception Date...4","Inception Month","Inception Year","Obsolete Type","US Category Group","Firm Name","Inception Date...8","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date","Same_Year"
"First Trust AQA Equity A Load Waived",TRUE," A Load Waived","A","A","AQAAX.lw",2016-11-30,11,2016,2015-11-10,11,2015,"Liquidated","U.S. Equity","First Trust",2015-11-10,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-10,0
"Columbia Multi Strat Alts Inst3",TRUE," Inst3","Inst3","Inst3","CLAYX",NA,NA,NA,2015-01-28,1,2015,NA,"Alternative","Columbia",2015-01-28,2020-01-21,17486057,"Inst","No",9998.884,0.705,198138.808,4305.748,5244.224,1.12,0.99,0.88,0.84,0.84,NA,NA
"State Street International Val Sptlgt K",TRUE," K","K","K","SIVSX",NA,NA,NA,2016-07-13,7,2016,NA,"International Equity","State Street Global Advisors",2016-07-13,2020-01-21,1891627,"Retirement","No",NA,1994852.292,-271214.301,-369466.349,-35448.108,NA,0.75,0.75,0.75,NA,NA,NA
"DF Dent Midcap Growth Institutional",TRUE," Institutional","Institutional","Instl","DFMGX",NA,NA,NA,2017-11-29,11,2017,NA,"U.S. Equity","DF Dent Funds",2017-11-29,2020-01-21,71558737,"Inst","No",NA,NA,2265866.058,27526652.505,25237651.737,NA,NA,NA,0.85,0.85,NA,NA
"Hood River Small-Cap Growth Retirement",TRUE," Retirement","Retirement","R","HRSIX",NA,NA,NA,2017-03-03,3,2017,NA,"U.S. Equity","Hood River Capital Management",2017-03-03,2020-01-21,349367636,"Retirement","No",NA,NA,36586910.993,231178173.076,25925821.491,NA,NA,0.99,0.99,0.99,NA,NA
"QS Global Market Neutral C",TRUE," C","C","C","LQNCX",NA,NA,NA,2018-07-16,7,2018,NA,"Alternative","Legg Mason",2018-07-16,2020-01-21,45887,"C","No",NA,NA,NA,50687.49,15.064,NA,NA,NA,4.03,4.27,NA,NA
"Nationwide AllianzGI International Gr A",TRUE," A","A","A","NWAGX",NA,NA,NA,2015-02-02,2,2015,NA,"International Equity","Nationwide",2015-02-02,2020-01-21,651644,"A","No",40941.626,4765.222,121797.292,584116.795,-125560.22,1.2,1.2,1.12,1.05,1.05,NA,NA
"AB Small Cap Core Advisor",TRUE," Advisor","Advisor","Advisor","SCRYX",NA,NA,NA,2015-12-29,12,2015,NA,"U.S. Equity","AllianceBernstein",2015-12-29,2020-01-21,786334479,"Adv","No",9999,566594602.964,-4400588.04,58956486.326,-37087802.613,NA,1.05,0.92,0.89,0.89,NA,NA
"AB International Small Cap Z",TRUE," Z","Z","Z","IRCZX",NA,NA,NA,2015-12-21,12,2015,NA,"International Equity","AllianceBernstein",2015-12-21,2020-01-21,433986892,"Inst","No",9979946,215943660.107,97270961.8,73551949.734,855041.714,NA,1.1,1.1,1.1,1.1,NA,NA
"Goldman Sachs Short Duration Inc R6",TRUE," R6","R6","R6","GDIUX",NA,NA,NA,2015-07-31,7,2015,NA,"Taxable Bond","Goldman Sachs",2015-07-31,2020-01-21,1247191,"Retirement","No",10003.348,56.302,58.599,59636.056,1128306.948,NA,0.48,0.45,0.45,0.45,NA,NA
"Centerstone International A Load Waived",TRUE," A Load Waived","A","A","CSIAX.lw",2016-11-30,11,2016,2016-05-03,5,2016,"Liquidated","International Equity","Centerstone Investors",2016-05-03,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-03,1
"MFS Municipal Income R6",TRUE," R6","R6","R6","MPMNX",NA,NA,NA,2017-08-01,8,2017,NA,"Municipal Bond","MFS",2017-08-01,2020-01-21,625676676,"Retirement","No",NA,NA,50002.824,449677472.52,114112573.423,NA,NA,NA,0.41,0.43,NA,NA
"Carillon Reams Core Bond C",TRUE," C","C","C","CRCDX",NA,NA,NA,2017-11-20,11,2017,NA,"Taxable Bond","Carillon Family of Funds",2017-11-20,2020-01-21,740361,"C","No",NA,NA,9986.5,937186.121,-246655.677,NA,NA,NA,1.55,1.55,NA,NA
"Principal SmallCap R-6",TRUE," R-6","R6","R6","PSMLX",NA,NA,NA,2016-11-22,11,2016,NA,"U.S. Equity","Principal Funds",2016-11-22,2020-01-21,67300854,"Retirement","No",NA,10004.208,25765162.875,28282895.068,2109957.413,NA,NA,0.77,0.77,0.77,NA,NA
"Morgan Stanley Inst Insight C",TRUE," C","C","C",NA,2018-11-16,11,2018,2015-04-30,4,2015,"Merged","Allocation","Morgan Stanley",2015-04-30,2018-11-16,9884921,"C","No",68254.057,3068591.734,5782507.231,NA,NA,2.14,2.13,2.12,NA,NA,2015-04-30,0
"Aberdeen Japanese Equities C",TRUE," C","C","C","AJECX",NA,NA,NA,2015-11-30,11,2015,NA,"International Equity","Aberdeen",2015-11-30,2020-01-16,12174,"C","No",10001.756,6.625,12.566,15.992,-2.762,NA,2,2,2,2,NA,NA
"GMO International Dev Eq Allc Ser R6",TRUE," R6","R6","R6","GIDRX",NA,NA,NA,2015-01-12,1,2015,NA,"International Equity","GMO",2015-01-12,2020-01-21,11891064,"Retirement","No",9830402.253,564934.481,253094.781,836481.936,-1836659.258,0.05,0.05,0.05,0.05,0.05,NA,NA
"Leland Thomson Ret Priv Byt Eq Idx I",TRUE," I","I","Instl","LDPIX",NA,NA,NA,2015-09-18,9,2015,NA,"U.S. Equity","Leland Funds",2015-09-18,2020-01-21,21365407,"Inst","Yes",5306589.513,1100016.34,3297629.912,2605926.369,2296117.838,1.5,1.5,1.5,1.5,1.5,NA,NA
"Western Asset Mortgage Total Ret IS",TRUE," IS","IS","IS","LMBSX",NA,NA,NA,2016-06-30,6,2016,NA,"Taxable Bond","Legg Mason",2016-06-30,2020-01-21,15601299,"Inst","No",NA,NA,-247715.184,-272163.055,9009662.514,NA,0.57,0.56,0.56,NA,NA,NA
"Fidelity® Flex Small Cap",TRUE," Cap","Cap","Cap","FCUTX",NA,NA,NA,2017-03-07,3,2017,NA,"U.S. Equity","Fidelity Investments",2017-03-07,2019-12-31,14176572,"Other","No",NA,NA,496221.605,5292039.807,6429084.789,NA,NA,0,0,0,NA,NA
"DWS Global Macro T",TRUE," T","T","T","DBIUX",NA,NA,NA,2019-12-02,12,2019,NA,"Alternative","DWS",2019-12-02,2020-01-21,11310,"T","No",NA,NA,NA,NA,984,NA,NA,NA,NA,NA,NA,NA
"Wells Fargo Colorado Tax-Free Instl",TRUE," Instl","Instl","Instl",NA,2019-03-15,3,2019,2016-10-31,10,2016,"Merged","Municipal Bond","Wells Fargo Funds",2016-10-31,2019-03-15,16581571,"Inst","No",NA,NA,3533254.41,4221034.952,NA,NA,NA,0.51,0.52,NA,2016-10-31,0
"Russell Inv Tax-Exempt High Yield Bd C",TRUE," C","C","C","RTHCX",NA,NA,NA,2015-06-01,6,2015,NA,"Municipal Bond","Russell",2015-06-01,2020-01-21,3554215,"C","No",606409.112,768488.917,293090.151,412205.949,1259104.813,1.64,1.64,1.64,1.64,1.63,NA,NA
"Sterling Capital Stratton Rl Estt A",TRUE," A","A","A","STMMX",NA,NA,NA,2015-11-16,11,2015,NA,"Sector Equity","Sterling Capital Funds",2015-11-16,2020-01-21,977575,"A","No",1038.538,125891.121,171966.44,139646.196,450875.864,0.86,1.08,1.04,1.07,1.07,NA,NA
"American Century Short Duration R6",TRUE," R6","R6","R6","ASDDX",NA,NA,NA,2017-07-28,7,2017,NA,"Taxable Bond","American Century Investments",2017-07-28,2020-01-21,78048524,"Retirement","No",NA,NA,49750467.995,12935709.041,12011052.678,NA,NA,NA,0.35,0.35,NA,NA
"DoubleLine Shiller Enhanced CAPE® R6",TRUE," R6","R6","R6","DDCPX",NA,NA,NA,2019-07-31,7,2019,NA,"U.S. Equity","DoubleLine",2019-07-31,2020-01-21,174069,"Retirement","No",NA,NA,NA,NA,158336.823,NA,NA,NA,NA,NA,NA,NA
"Gabelli Entpr Mergers & Acquisitions T",TRUE," T","T","T",NA,2018-09-20,9,2018,2017-06-30,6,2017,"Liquidated","Alternative","Gabelli",2017-06-30,2018-09-20,1054,"Other","No",NA,NA,1004.481,NA,NA,NA,NA,1.51,NA,NA,2017-06-30,0
"Voya Corporate Leaders 100 II C",TRUE," C","C","C",NA,2019-11-08,11,2019,2019-11-04,11,2019,"Merged",NA,"Voya",2019-11-04,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-04,1
"Russell Tax-Managed Real Assets S",TRUE," S","S","S","RTXSX",NA,NA,NA,2019-06-10,6,2019,NA,"Allocation","Russell",2019-06-10,2020-01-21,382723260,"S","No",NA,NA,NA,NA,349486389.361,NA,NA,NA,NA,1.04,NA,NA
"Harbor Focused International Investor",TRUE," Investor","Investor","Investor","HNFIX",NA,NA,NA,2019-06-03,6,2019,NA,"International Equity","Harbor",2019-06-03,2020-01-21,36152,"Inv","No",NA,NA,NA,NA,31820.723,NA,NA,NA,NA,1.22,NA,NA
"Morgan Stanley Inst Active Intl Allc IR",TRUE," IR","IR","IR","MAIHX",NA,NA,NA,2019-10-31,10,2019,NA,"International Equity","Morgan Stanley",2019-10-31,2020-01-21,10816,"Other","No",NA,NA,NA,NA,10004.565,NA,NA,NA,NA,NA,NA,NA
"Six Circles Mgd Eq Port Intl Uncons",TRUE," Uncons","Uncons","Uncons","CMIUX",NA,NA,NA,2019-04-10,4,2019,NA,"International Equity","Six Circles",2019-04-10,2020-01-21,921081010,"Other","No",NA,NA,NA,NA,848097133.576,NA,NA,NA,NA,NA,NA,NA
"DoubleLine Colony Rl Estt Inc N",TRUE," N","N","N","DLREX",NA,NA,NA,2018-12-17,12,2018,NA,"Sector Equity","DoubleLine",2018-12-17,2020-01-21,6041176,"N","No",NA,NA,NA,206689,5036621.907,NA,NA,NA,NA,0.87,NA,NA
"Virtus KAR Long/Short Equity C",TRUE," C","C","C","VLSCX",NA,NA,NA,2018-12-06,12,2018,NA,"Alternative","Virtus",2018-12-06,2020-01-21,193948,"C","No",NA,NA,NA,103276,2587.261,NA,NA,NA,NA,3.15,NA,NA
"Federated Hermes SDG Engagement Eq Instl",TRUE," Instl","Instl","Instl","FHESX",NA,NA,NA,2018-11-06,11,2018,NA,"International Equity","Federated",2018-11-06,2020-01-21,39034483,"Inst","No",NA,NA,NA,8951817.097,25706230.974,NA,NA,NA,NA,0.94,NA,NA
"Lazard International Equity Value Instl",TRUE," Instl","Instl","Instl","IEVIX",NA,NA,NA,2018-10-31,10,2018,NA,"International Equity","Lazard",2018-10-31,2020-01-21,2967223,"Inst","No",NA,NA,NA,25073577.509,-12127281.413,NA,NA,NA,0.95,NA,NA,NA
"Acclivity Mid Cap Multi-Style N",TRUE," N","N","N","AXMNX",NA,NA,NA,2019-12-31,12,2019,NA,"U.S. Equity","Innealta Capital",2019-12-31,2020-01-21,10,"N","No",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"Calvert Balanced R6",TRUE," R6","R6","R6","CBARX",NA,NA,NA,2019-02-01,2,2019,NA,"Allocation","Calvert Research and Management",2019-02-01,2019-12-31,1831313,"Retirement","No",NA,NA,NA,NA,1812577.305,NA,NA,NA,NA,0.64,NA,NA
"Nuveen Emerging Markets Equity C",TRUE," C","C","C","NEKCX",NA,NA,NA,2018-11-27,11,2018,NA,"International Equity","Nuveen",2018-11-27,2020-01-21,33603,"C","No",NA,NA,NA,25265.608,2035.016,NA,NA,NA,NA,1.95,NA,NA
"Fidelity Advisor® Women's Leadership M",TRUE," M","M","M","FWOEX",NA,NA,NA,2019-05-01,5,2019,NA,"U.S. Equity","Fidelity Investments",2019-05-01,2019-12-31,373290,"M","No",NA,NA,NA,NA,344372.47,NA,NA,NA,NA,NA,NA,NA
"Fidelity® Women's Leadership",TRUE," Leadership","Leadership","Leadership","FWOMX",NA,NA,NA,2019-05-01,5,2019,NA,"U.S. Equity","Fidelity Investments",2019-05-01,2019-12-31,19574609,"Other","No",NA,NA,NA,NA,18182725.091,NA,NA,NA,NA,NA,NA,NA
"Victory Integrity Mid-Cap Value C",TRUE," C","C","C","MCIMX",NA,NA,NA,2019-11-01,11,2019,NA,"U.S. Equity","Victory",2019-11-01,2020-01-21,56219,"C","No",NA,NA,NA,NA,54095.506,NA,NA,NA,NA,NA,NA,NA
"USAA International R6",TRUE," R6","R6","R6","URITX",NA,NA,NA,2018-08-17,8,2018,NA,"International Equity","USAA",2018-08-17,2020-01-21,4046278,"Retirement","No",NA,NA,NA,4747823.824,-1030627.612,NA,NA,NA,NA,0.85,NA,NA
"Rational Special Situations Income A",TRUE," A","A","A","RFXAX",NA,NA,NA,2019-07-17,7,2019,NA,"Taxable Bond","Rational Funds",2019-07-17,2020-01-21,10265949,"A","No",NA,NA,NA,NA,5403845.262,NA,NA,NA,NA,NA,NA,NA
"Franklin NY Intermediate T/F Income R6",TRUE," R6","R6","R6","FKNRX",NA,NA,NA,2017-08-01,8,2017,NA,"Municipal Bond","Franklin Templeton Investments",2017-08-01,2019-12-31,84243242,"Retirement","No",NA,NA,788796.229,64575642.073,14369519.38,NA,NA,0.51,0.51,0.53,NA,NA
"Eventide Dividend Opportunities A",TRUE," A","A","A","ETADX",NA,NA,NA,2017-09-29,9,2017,NA,"International Equity","Eventide Funds",2017-09-29,2020-01-21,2059811,"A","No",NA,NA,45711.098,615202.26,1130764.217,NA,NA,NA,1.2,1.2,NA,NA
"Centre Active US Tax Exempt Investor{mg}",TRUE," Investor{mg}","Investor","Investor",NA,2015-03-17,3,2015,2015-03-16,3,2015,"Merged",NA,"Centre",2015-03-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-03-16,1
"Voya CBRE Global Infrastructure A{mg}",TRUE," A{mg}","A","A",NA,2017-07-14,7,2017,2017-04-28,4,2017,"Merged",NA,"Voya",2017-04-28,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-28,1
"Invesco Oppenheimer Limited-Term Govt R5",TRUE," R5","R5","R5","IOLRX",NA,NA,NA,2019-05-24,5,2019,NA,"Taxable Bond","Invesco",2019-05-24,2020-01-21,10006,"Retirement","No",NA,NA,NA,NA,9843.32,NA,NA,NA,NA,0.53,NA,NA
"Invesco Oppenheimer Fdmtl Alts R{mg}",TRUE," R{mg}","R","R",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Alternative","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Devpg Mkts R{mg}",TRUE," R{mg}","R","R",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","International Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Intmdt Inc Y {mg}",TRUE," Y {mg}","Y","Y",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Taxable Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco OFI Pictet Glbl Envir Solu Y{mg}",TRUE," Y{mg}","Y","Y",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","International Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Senior Fl Rt C{mg}",TRUE," C{mg}","C","C",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Taxable Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer SP MLP Slct 40 A{mg}",TRUE," A{mg}","A","A",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Sector Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Global Uncons Bd R5",TRUE," R5","R5","R5",NA,2019-10-30,10,2019,2019-05-24,5,2019,"Liquidated","Taxable Bond","Invesco",2019-05-24,2019-10-30,10410,"Retirement","No",NA,NA,NA,NA,-174.589,NA,NA,NA,NA,NA,2019-05-24,1
"Invesco Oppenheimer Devpg Mkts R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","International Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer SPMLP&EngyIfs R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Sector Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Gold&Spec Mnrl A{mg}",TRUE," A{mg}","A","A",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Sector Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Ltd-Term Bd C{mg}",TRUE," C{mg}","C","C",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Taxable Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Glb Uncons Bd Y {mg}",TRUE," Y {mg}","Y","Y",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Taxable Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"InvescoOppenheimerRchstAMTFrNYMncplC{MG}",TRUE,"InvescoOppenheimerRchstAMTFrNYMncplC{MG}","InvescoOppenheimerRchstAMTFrNYMncplC","C",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Municipal Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Sml Cap Val A{mg}",TRUE," A{mg}","A","A",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","U.S. Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Lord Abbett Focused Growth R5",TRUE," R5","R5","R5","LFGTX",NA,NA,NA,2019-01-31,1,2019,NA,"U.S. Equity","Lord Abbett",2019-01-31,2020-01-21,12343,"Retirement","No",NA,NA,NA,NA,10002.433,NA,NA,NA,NA,0.8,NA,NA
"Invesco Oppenheimer Main Street R{mg}",TRUE," R{mg}","R","R",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","U.S. Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Intl Bd Y {mg}",TRUE," Y {mg}","Y","Y",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Taxable Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Global Allo C{mg}",TRUE," C{mg}","C","C",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Allocation","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer ItmtTrm Muncpl A{mg}",TRUE," A{mg}","A","A",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Municipal Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco Oppenheimer Rchst Mncpl R6",TRUE," R6","R6","R6","IORUX",NA,NA,NA,2019-05-24,5,2019,NA,"Municipal Bond","Invesco",2019-05-24,2020-01-21,5032803,"Retirement","No",NA,NA,NA,NA,4961930.658,NA,NA,NA,NA,NA,NA,NA
"JPMorgan Large Cap Value R3",TRUE," R3","R3","R3","OLVTX",NA,NA,NA,2018-10-01,10,2018,NA,"U.S. Equity","JPMorgan",2018-10-01,2020-01-21,21347,"Retirement","No",NA,NA,NA,19463.199,224.769,NA,NA,NA,NA,0.94,NA,NA
"American Beacon Cntns Cptl EM Instl",TRUE," Instl","Instl","Instl","CCEIX",NA,NA,NA,2018-12-17,12,2018,NA,"International Equity","American Beacon",2018-12-17,2020-01-21,3130342,"Inst","No",NA,NA,NA,2608415,-68795.208,NA,NA,NA,NA,1.15,NA,NA
"Columbia Select Global Equity Advisor",TRUE," Advisor","Advisor","Advisor","CSGVX",NA,NA,NA,2018-03-01,3,2018,NA,"International Equity","Columbia",2018-03-01,2020-01-21,1290531,"Adv","No",NA,NA,NA,268499.847,582187.919,NA,NA,NA,1.1,1.07,NA,NA
"Invesco Oppenheimer MainStrtAllCap R{mg}",TRUE," R{mg}","R","R",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","U.S. Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Invesco OFI Pictet Global Envir Solu R",TRUE," R","R","R",NA,2019-10-30,10,2019,2019-05-24,5,2019,"Liquidated","International Equity","Invesco",2019-05-24,2019-10-30,10162,"Retirement","No",NA,NA,NA,NA,54.283,NA,NA,NA,NA,NA,2019-05-24,1
"JPMorgan New York Tax Free Bond R6",TRUE," R6","R6","R6","VINRX",NA,NA,NA,2018-10-01,10,2018,NA,"Municipal Bond","JPMorgan",2018-10-01,2020-01-21,111538919,"Retirement","No",NA,NA,NA,48555003.683,55785331.157,NA,NA,NA,NA,0.4,NA,NA
"M.D. Sass Equity Income Plus C",TRUE," C","C","C",NA,2016-02-29,2,2016,2015-03-24,3,2015,"Merged","Alternative","MD Sass",2015-03-24,2016-02-29,76225,"C","No",121439.456,NA,NA,NA,NA,1.75,NA,NA,NA,NA,2015-03-24,0
"Columbia Strat New York Muncpl Inc Inst3",TRUE," Inst3","Inst3","Inst3","CNTYX",NA,NA,NA,2017-03-01,3,2017,NA,"Municipal Bond","Columbia",2017-03-01,2020-01-21,750774,"Inst","No",NA,NA,104751.882,-16014.87,627570.839,NA,NA,0.5,0.5,0.49,NA,NA
"Columbia Select Global Equity Inst3",TRUE," Inst3","Inst3","Inst3","CSEYX",NA,NA,NA,2017-03-01,3,2017,NA,"International Equity","Columbia",2017-03-01,2020-01-21,58198217,"Inst","No",NA,NA,-18575459.612,-7642842.026,-7368667.145,NA,NA,0.97,0.95,0.94,NA,NA
"Horizon Active Dividend Investor",TRUE," Investor","Investor","Investor","HNDDX",NA,NA,NA,2016-12-28,12,2016,NA,"U.S. Equity","Horizon Investments",2016-12-28,2020-01-21,159731094,"Inv","No",NA,49984,23082781.351,43426771.638,79966986.167,NA,NA,1.09,1.09,NA,NA,NA
"Nationwide Emerging Mkts Dbt Instl Svc",TRUE," Svc","Svc","Svc","NWXDX",NA,NA,NA,2016-02-29,2,2016,NA,"Taxable Bond","Nationwide",2016-02-29,2020-01-21,37011,"S","No",NA,102077.241,2410.754,-18106.595,-81915.683,NA,0.96,0.9,0.9,0.9,NA,NA
"Advantus Managed Volatility Equity A",TRUE," A","A","A",NA,2017-12-26,12,2017,2015-09-29,9,2015,"Merged","Alternative","Advantus",2015-09-29,2017-12-26,3350703,"A","No",576740.957,1877540.389,427548.625,NA,NA,NA,0.8,0.8,NA,NA,2015-09-29,0
"Meridian Small Cap Growth C",TRUE," C","C","C","MSGCX",NA,NA,NA,2015-07-01,7,2015,NA,"U.S. Equity","Meridian",2015-07-01,2020-01-21,10627875,"C","No",19052836.951,13643014.492,-1809947.138,-26958155.128,NA,NA,2.25,2.16,2.15,2.16,NA,NA
"Goldman Sachs Abslt Ret Multi-Asst R",TRUE," R","R","R",NA,2019-10-15,10,2019,2015-09-02,9,2015,"Liquidated","Alternative","Goldman Sachs",2015-09-02,2019-10-15,25116,"Retirement","No",25088.887,173.063,-9.739,703.36,NA,1.48,1.15,1.3,1.18,NA,2015-09-02,0
"Putnam PanAgora Market Neutral R6",TRUE," R6","R6","R6","PPMRX",NA,NA,NA,2017-09-21,9,2017,NA,"Alternative","Putnam",2017-09-21,2019-12-31,819109,"Retirement","No",NA,NA,585355.022,463176.008,-60271.124,NA,NA,NA,1.46,1.55,NA,NA
"Hartford Schroders EmMkts Mlt-Sect Bd R5",TRUE," R5","R5","R5","HFZTX",NA,NA,NA,2016-10-24,10,2016,NA,"Taxable Bond","Hartford Mutual Funds",2016-10-24,2020-01-21,11557,"Other","No",NA,10058.93,192.418,142.259,145.597,NA,0.84,0.85,0.85,0.81,NA,NA
"Hartford Schroders EM Dbt and Ccy A{mg}",TRUE," A{mg}","A","A",NA,2016-10-24,10,2016,2016-10-21,10,2016,"Merged","Taxable Bond","Hartford Mutual Funds",2016-10-21,NA,NA,"A","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-21,1
"Hartford Schroders Income Builder R4",TRUE," R4","R4","R4",NA,2017-10-20,10,2017,2016-10-24,10,2016,"Liquidated","Allocation","Hartford Mutual Funds",2016-10-24,2017-10-20,10650,"Retirement","No",NA,10013.48,NA,NA,NA,NA,1.13,NA,NA,NA,2016-10-24,0
"Hartford Schroders EmMkts Dbt and Ccy Y",TRUE," Y","Y","Y",NA,2018-07-02,7,2018,2016-10-24,10,2016,"Merged","Taxable Bond","Hartford Mutual Funds",2016-10-24,2018-06-29,10100,"Inst","No",NA,10013.413,91.799,NA,NA,NA,0.98,1,NA,NA,2016-10-24,0
"Hartford Schroders Tax-Aware Bond Y",TRUE," Y","Y","Y","HFKYX",NA,NA,NA,2016-10-24,10,2016,NA,"Taxable Bond","Hartford Mutual Funds",2016-10-24,2020-01-21,205654,"Inst","No",NA,10026.838,206127.879,1828.618,-27792.782,NA,0.45,0.46,0.48,0.53,NA,NA
"Hartford Schroders US Small Cap Opps C",TRUE," C","C","C","HOOCX",NA,NA,NA,2016-10-24,10,2016,NA,"U.S. Equity","Hartford Mutual Funds",2016-10-24,2020-01-21,8692494,"C","No",NA,889642.309,3768250.706,2628812.195,-389975.497,NA,1.9,2.08,2.09,2.1,NA,NA
"Transamerica Global Long/Short Equity T1",TRUE," T1","T1","T1",NA,2017-07-24,7,2017,2017-03-17,3,2017,"Liquidated","Alternative","Transamerica",2017-03-17,2017-07-24,10368,"T","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-17,1
"Transamerica Global Equity T1",TRUE," T1","T1","T1",NA,2019-02-15,2,2019,2017-03-17,3,2017,"Liquidated","International Equity","Transamerica",2017-03-17,2019-02-15,11619,"Other","No",NA,NA,10069.118,0.765,NA,NA,NA,1.28,1.26,NA,2017-03-17,0
"Transamerica Multi-Managed Balanced T1",TRUE," T1","T1","T1",NA,2019-02-15,2,2019,2017-03-17,3,2017,"Liquidated","Allocation","Transamerica",2017-03-17,2019-02-19,0,"Other","No",NA,NA,9995.534,37.972,NA,NA,NA,0.95,0.95,NA,2017-03-17,0
